Unnamed: 0,G,GLS,GPG,AST,APG,BLK,BPG,+ / -,+/- PG,CMP,CPG,CMP %,PP,PPG,RY,RYG,TY,TYG
Tyler DeGirolamo,12,28,2.33,86,7.17,13,1.08,105,8.75,403,33.58,95.5,323,26.92,0,0,0,0
Marcus Ranii-Dropcho,8,9,1.13,37,4.63,11,1.38,47,5.88,221,27.63,96.1,219,27.38,0,0,0,0
Aaron Watson,14,48,3.43,31,2.21,10,0.71,71,5.07,309,22.07,95.7,357,25.5,0,0,0,0
Ethan Beardsley,16,72,4.5,8,0.5,13,0.81,80,5.0,116,7.25,98.3,416,26.0,0,0,0,0
David Vatz,13,62,4.77,9,0.69,4,0.31,60,4.62,149,11.46,95.5,321,24.69,0,0,0,0
Pat Earles,9,9,1.0,61,6.78,6,0.67,36,4.0,412,45.78,91.8,253,28.11,0,0,0,0
Nick Haser,5,10,2.0,1,0.2,8,1.6,18,3.6,19,3.8,95.0,96,19.2,0,0,0,0
Mark Fedorenko,14,24,1.71,21,1.5,17,1.21,49,3.5,150,10.71,93.2,288,20.57,0,0,0,0
Anson Reppermund,15,22,1.47,14,0.93,25,1.67,48,3.2,105,7.0,90.5,298,19.87,0,0,0,0
Max Sheppard,11,16,1.45,18,1.64,9,0.82,34,3.09,70,6.36,92.1,219,19.91,0,0,0,0
Max Thorne,3,9,3.0,6,2.0,2,0.67,9,3.0,53,17.67,88.3,72,24.0,0,0,0,0
Christian Pitts,8,19,2.38,7,0.88,5,0.63,24,3.0,64,8.0,95.5,219,27.38,0,0,0,0
Mike Pannone,14,13,0.93,6,0.43,23,1.64,36,2.57,63,4.5,95.5,261,18.64,0,0,0,0
Rob Dulabon,10,14,1.4,5,0.5,15,1.5,23,2.3,51,5.1,85.0,211,21.1,0,0,0,0
Alex Thorne,8,14,1.75,24,3.0,2,0.25,17,2.13,319,39.88,93.8,192,24.0,0,0,0,0
Scott Trimble,12,16,1.33,11,0.92,7,0.58,25,2.08,61,5.08,92.4,208,17.33,0,0,0,0
Jon DeAmicis,10,10,1.0,0,0.0,9,0.9,17,1.7,19,1.9,90.5,156,15.6,0,0,0,0
Steve Mogielski,10,5,0.5,8,0.8,8,0.8,16,1.6,60,6.0,93.8,165,16.5,0,0,0,0
Tad Wissel,10,7,0.7,13,1.3,2,0.2,16,1.6,162,16.2,96.4,172,17.2,0,0,0,0
Felipe Delgado,11,12,1.09,6,0.55,7,0.64,16,1.45,57,5.18,90.5,159,14.45,0,0,0,0
Nick Kaczmarek,5,3,0.6,3,0.6,1,0.2,7,1.4,42,8.4,100.0,83,16.6,0,0,0,0
Dennis Bechis,3,4,1.33,2,0.67,0,0.0,3,1.0,21,7.0,100.0,56,18.67,0,0,0,0
Eric Zarobilia,3,2,0.67,2,0.67,0,0.0,3,1.0,13,4.33,92.9,47,15.67,0,0,0,0
Sam Schurer,11,2,0.18,16,1.45,6,0.55,10,0.91,116,10.55,89.9,184,16.73,0,0,0,0
Brandon Thomas,7,2,0.29,2,0.29,3,0.43,6,0.86,15,2.14,93.8,73,10.43,0,0,0,0
Darren Shultz,4,3,0.75,0,0.0,1,0.25,3,0.75,4,1.0,80.0,52,13.0,0,0,0,0
Mark Hritz,3,1,0.33,1,0.33,1,0.33,2,0.67,15,5.0,100.0,34,11.33,0,0,0,0
Jonathan Mast,16,8,0.5,9,0.56,7,0.44,8,0.5,463,28.94,96.9,338,21.13,0,0,0,0
Jack Slevin,2,1,0.5,1,0.5,0,0.0,1,0.5,31,15.5,100.0,37,18.5,0,0,0,0
Isaac Saul,10,3,0.3,24,2.4,5,0.5,5,0.5,363,36.3,93.3,233,23.3,0,0,0,0
Chris Brenenborg,12,4,0.33,19,1.58,3,0.25,4,0.33,248,20.67,92.5,255,21.25,0,0,0,0
James Greeno,9,3,0.33,2,0.22,0,0.0,0,0.0,63,7.0,92.6,106,11.78,0,0,0,0
Michael Van Ness,4,0,0.0,1,0.25,2,0.5,-1,-0.25,17,4.25,81.0,49,12.25,0,0,0,0
